case_name,case_url,filings,filed_date,state_ags,case_status,issue_area,executive_action,last_case_update
"Bakken v. United States Military Academy (S.D.N.Y.)

7:25-cv-07826",https://www.courtlistener.com/docket/71415358/bakken-v-united-states-military-academy/,Complaint,2025-09-22,,Awaiting Court Ruling,Civil Liberties and Rights,"Actions Toward Universities (Executive Order 14188, Pause or Termination of Grants, Columbia Letter of Demands, Harvard Letter of Demands, Harvard Proclamation on Student Visas)",2025-09-22
"O'Neill v. Hartman (D. Md.)

1:25-cv-04228",https://www.courtlistener.com/docket/72068457/oneill-v-hartman/,Complaint,2025-12-22,,Awaiting Court Ruling,Civil Liberties and Rights,Actions Against LGBTQ+ Government Employees,2025-12-22
"Mittereder v. Noem (E.D. Va.)

1:25-cv-01991",https://www.courtlistener.com/docket/71889590/mittereder-v-noem/,Complaint,2025-11-07,,Awaiting Court Ruling,Civil Liberties and Rights,Actions Against LGBTQ+ Government Employees,2025-11-07
"State of Washington et al. v. Donald J. Trump et al. (W.D. Wash.)

2:25-cv-00244",https://www.courtlistener.com/docket/69620657/state-of-washington-v-department-of-justice/,"Complaint

Amended Complaint

2025-02-19",2025-02-07,State A.G. Plaintiffs,Government Action Temporarily Blocked,Civil Liberties and Rights,Ban on Gender Affirming Care for Individuals Under the Age of 19 (Executive Order 14168; Executive Order 14187),2025-11-10
"Commonwealth of Massachusetts v. Trump (D. Mass.)

1:25-cv-12162",https://www.courtlistener.com/docket/70989506/commonwealth-of-massachusetts-v-trump/,Complaint,2025-08-01,State A.G. Plaintiffs,Awaiting Court Ruling,Civil Liberties and Rights,Ban on Gender Affirming Care for Individuals Under the Age of 19 (Executive Order 14168; Executive Order 14187),2025-08-01
"Doe v. Department of Defense (D. Md.)

8:25-cv-02947",https://www.courtlistener.com/docket/71294148/doe-v-department-of-defense/,Complaint,2025-09-08,,Awaiting Court Ruling,Civil Liberties and Rights,Ban on Gender Affirming Care for Individuals Under the Age of 19 (Executive Order 14168; Executive Order 14187),2025-09-08
"Tirrell v. Edelblut (D.N.H.)

1:24-cv-00251",https://www.courtlistener.com/docket/69050456/tirrell-v-edelblut/,"Complaint

First Amended Complaint

2024-11-08

Second Amended Complaint

2025-02-12",2024-08-16,,Government Action Temporarily Blocked,Civil Liberties and Rights,Ban on Transgender Athletes in Women’s Sports (Executive Order 14168; Executive Order 14201) and Policies on Transgender Students,2025-02-12
"State of California v. Department of Justice (N.D. Cal.)

3:25-cv-04863",https://www.courtlistener.com/docket/70495597/state-of-california-v-united-states-department-of-justice/,Complaint,2025-06-09,State A.G. Plaintiffs,Awaiting Court Ruling,Civil Liberties and Rights,Ban on Transgender Athletes in Women’s Sports (Executive Order 14168; Executive Order 14201) and Policies on Transgender Students,2025-10-06
"Nicolas Talbott, et al. v. Donald Trump, et al. (D.D.C.)

1:25-cv-00240",https://www.courtlistener.com/docket/69583866/talbott-v-trump/,Complaint,2025-01-28,,Government Action Not Blocked Pending Appeal,Civil Liberties and Rights,Ban on Transgender Individuals Serving in the Military (Executive Order 14183),2025-12-09
"Shilling v. Trump (W.D. Wash.)

2:25-cv-00241",https://www.courtlistener.com/docket/69617888/shilling-v-trump/,"Complaint




Amended Complaint 2025-03-04",2025-02-06,,Government Action Not Blocked Pending Appeal,Civil Liberties and Rights,Ban on Transgender Individuals Serving in the Military (Executive Order 14183),2025-05-06
"Ireland v. Hegseth (D.N.J.)

1:25-cv-01918",https://www.courtlistener.com/docket/69747346/ireland-v-hegseth/,Complaint,2025-03-17,,Case Closed,Civil Liberties and Rights,Ban on Transgender Individuals Serving in the Military (Executive Order 14183),2025-05-15
"Ireland v. United States (Ct. Fed. Cl.)

1:25-cv-01921",https://www.courtlistener.com/docket/71901559/ireland-v-united-states/,Complaint,2025-11-10,,Awaiting Court Ruling,Civil Liberties and Rights,Ban on Transgender Individuals Serving in the Military (Executive Order 14183),2025-11-12
"Maine v. US Department of Agriculture (D. Me.)

1:25-cv-00131",https://www.courtlistener.com/docket/69853711/state-of-maine-v-united-states-department-of-agriculture/,"Complaint

Amended Complaint

2025-04-08",2025-04-07,State A.G. Plaintiffs,Case Closed,Civil Liberties and Rights,Conditioning Agriculture Funds on State Transgender Athlete Policy (Sec. of Agriculture Letter to Maine Governor),2025-05-02
"Baraka v. Habba (D.N.J.)

2:25-cv-06846",https://www.courtlistener.com/docket/70445695/baraka-v-habba/,Complaint,2025-06-03,,Awaiting Court Ruling,Civil Liberties and Rights,Criminal Arrests and Prosecutions,2025-08-21
"Taylor v. Trump (D.D.C.)

1:25-cv-01161
1:25-cv-03742",https://www.courtlistener.com/docket/69903355/taylor-v-trump/,"Complaint




Re-filed Complaint",2025-04-16,,Government Action Temporarily Blocked,Civil Liberties and Rights,"Conditions of Imprisonment (Restoring the Death Penalty and Protecting Public Safety - Executive Order 14164) (Attorney General Memorandum, Feb. 5, 2025)",2026-02-17
"Chicago Headline Club v. Noem (N.D. Ill.)

1:25-cv-12173",https://www.courtlistener.com/docket/71559589/chicago-headline-club-v-noem/,Complaint,2025-10-06,,Case Closed,Civil Liberties and Rights,Criminal Arrests and Prosecutions,2026-01-22
"O’Hara v. Beck (D.D.C.)

1:25-cv-03753",https://www.courtlistener.com/docket/71730267/ohara-v-beck/,Complaint,2025-10-23,,Awaiting Court Ruling,Civil Liberties and Rights,Criminal Arrests and Prosecutions,2025-10-23
"Swalwell v. Pute (D.D.C.)

1:25-cv-04125",https://www.courtlistener.com/docket/71959925/swalwell-v-pulte/,Complaint,2025-11-25,,Awaiting Court Ruling,Civil Liberties and Rights,Criminal Arrests and Prosecutions,2025-11-25
"Longworth v. Trump (D. Or.)

6:25-cv-02268",https://www.courtlistener.com/docket/72002125/longworth-v-trump/,Complaint,2025-12-05,,Government Action Temporarily Blocked,Civil Liberties and Rights,Criminal Arrests and Prosecutions,2025-12-10
"State of Illinois v. Department of Homeland Security (N.D. Ill.)

1:26-cv-00321",https://www.courtlistener.com/docket/72131845/state-of-illinois-v-department-of-homeland-security/,Complaint,2026-01-12,State A.G. Plaintiffs,Awaiting Court Ruling,Civil Liberties and Rights,Criminal Arrests and Prosecutions,2026-01-12
"State of Minnesota v. Noem (D. Minn.)

0:26-cv-00190",https://www.courtlistener.com/docket/72132615/state-of-minnesota-v-noem/,Complaint,2026-01-12,State A.G. Plaintiffs,Temporary Block of Government Action Denied,Civil Liberties and Rights,Criminal Arrests and Prosecutions,2026-02-16
"Minnesota Bureau of Criminal Apprehension v. Noem (D. Minn.)

0:26-cv-00628",https://www.courtlistener.com/docket/72185880/minnesota-bureau-of-criminal-apprehension-v-noem/,Complaint,2026-01-24,,Temporary Block of Government Action Denied,Civil Liberties and Rights,Criminal Arrests and Prosecutions,2026-02-02
"Gilbert Baker Foundation v. U.S. Department of Interior (S.D.N.Y)

1:26-cv-01317",https://www.courtlistener.com/docket/72285959/gilbert-baker-foundation-v-us-department-of-interior/,Complaint,2026-02-17,,Awaiting Court Ruling,Civil Liberties and Rights,Display and Flying of Non-Agency Flags,2026-02-17
"League of United Latin American Citizens (LULAC) v. Executive Office of the President (D.D.C.)

1:25-cv-00946",https://www.courtlistener.com/docket/69823792/league-of-united-latin-american-citizens-v-executive-office-of-the/,Complaint,2025-03-31,,Government Action Blocked Pending Appeal,Civil Liberties and Rights,Election Law (Executive Order 14248),2026-01-30
"Democratic National Committee v. Trump (D.D.C.)

1:25-cv-00952",https://www.courtlistener.com/docket/69826986/democratic-national-committee-v-trump/,Complaint,2025-03-31,,Government Action Blocked Pending Appeal,Civil Liberties and Rights,Election Law (Executive Order 14248),2026-01-30
"League of Women Voters Education Fund v. Trump (D.D.C.)

1:25-cv-00955",https://www.courtlistener.com/docket/69828370/league-of-women-voters-education-fund-v-trump/,Complaint,2025-04-01,,Government Action Blocked Pending Appeal,Civil Liberties and Rights,Election Law (Executive Order 14248),2026-01-30
"State of California v. Trump (D. Mass.)

1:25-cv-10810",https://www.courtlistener.com/docket/69841778/state-of-california-v-trump/,Complaint,2025-04-03,State A.G. Plaintiffs,Government Action Temporarily Blocked,Civil Liberties and Rights,Election Law (Executive Order 14248),2025-11-24
"State of Washington v. Trump (W.D. Wash.)

2:25-cv-00602",https://www.courtlistener.com/docket/69845185/state-of-washington-v-trump/,Complaint,2025-04-04,State A.G. Plaintiffs,Case Closed,Civil Liberties and Rights,Election Law (Executive Order 14248),2026-01-09
"League of Women Voters of the United States v. U.S. Citizenship and Immigration Services (D. Md.)

8:25-cv-03777",https://www.courtlistener.com/docket/71927766/league-of-women-voters-of-the-united-states-v-us-citizenship-and/,Complaint,2025-11-18,,Awaiting Court Ruling,Civil Liberties and Rights,Election Law (Executive Order 14248),2025-11-18
"Burnley v. United States (D. Mass.)

1:26-cv-10364",https://www.courtlistener.com/docket/72191479/burnley-v-united-states/,Complaint,2026-01-27,,Awaiting Court Ruling,Civil Liberties and Rights,Extrajudicial Killings,2026-01-27
"National Council of Jewish Women v. Citizenship and Immigration Services (D. Md.)

8:25-cv-3675",https://www.courtlistener.com/docket/71891909/national-council-of-jewish-women-greater-new-orleans-section-v-us/,Complaint,2025-11-07,,Awaiting Court Ruling,Civil Liberties and Rights,Changes to Voter Registration Guidance for Naturalized Citizens,2025-11-10
"National Association of Immigration Judges v. Sirce E. Owen (E.D. Va.)

1:20-cv-00731",https://www.courtlistener.com/docket/17313427/national-association-of-immigration-judges-v-david-l-neal/,Complaint,2020-07-01,,Government Action Blocked Pending Appeal,Civil Liberties and Rights,Government Employees' Speech,2025-12-19
"American Federation of Government Employees, AFL-CIO v. Kupor (D. Mass.)

1:25-cv-13305",https://www.courtlistener.com/docket/71884278/american-federation-of-government-employees-afl-cio-v-kupor/,Complaint,2025-11-06,,Awaiting Court Ruling,Civil Liberties and Rights,Government Employees' Speech,2025-11-07
"Schnitt v. Bondi (D.D.C.)

1:25-cv-04111",https://www.courtlistener.com/docket/71952354/schnitt-v-bondi/,Complaint,2025-11-24,,Awaiting Court Ruling,Civil Liberties and Rights,Government Employees' Speech,2025-11-24
"Does v. Patel (D.D.C.)

1:25-cv-04258",https://www.courtlistener.com/docket/72004388/does-v-patel/,Complaint,2025-12-08,,Awaiting Court Ruling,Civil Liberties and Rights,Government Employees' Speech,2025-12-08
"Joslin v. U.S. Department of the Interior (D.D.C.)

1:26-cv-00576",https://www.courtlistener.com/docket/72312534/joslin-v-us-department-of-the-interior/,Complaint,2026-02-23,,Awaiting Court Ruling,Civil Liberties and Rights,Government Employees' Speech,2026-02-23
"Aaron v. Bondi (D.D.C.)

1:25-cv-04250",https://www.courtlistener.com/docket/72003579/aaron-v-bondi/,Complaint,2025-12-08,,Awaiting Court Ruling,Civil Liberties and Rights,Retaliation Against Protected Speech,2025-12-08
"Jeanne M. Marrazzo v. Robert F. Kennedy Jr. (D. Md.)

1:25-cv-04144",https://www.courtlistener.com/docket/72044304/v-marrazzo/,Complaint,2025-12-16,,Awaiting Court Ruling,Civil Liberties and Rights,Retaliation Against Protected Speech,2025-12-16
"Tincher v. Noem (D. Minn.)

0:25-cv-04669",https://www.courtlistener.com/docket/72047643/tincher-v-noem/,Complaint,2025-12-17,,Government Action Not Blocked Pending Appeal,Civil Liberties and Rights,Retaliation Against Protected Speech,2026-02-19
"Kelly v. Hegseth (D.D.C.)

1:26-cv-00081",https://www.courtlistener.com/docket/72131361/kelly-v-hegseth/,Complaint,2026-01-12,,Government Action Temporarily Blocked,Civil Liberties and Rights,Retaliation Against Protected Speech,2026-02-12
"Wright v. Noem (D.D.C.)

1:26-cv-00144",https://www.courtlistener.com/docket/72158550/wright-v-noem/,Complaint,2026-01-19,,Awaiting Court Ruling,Civil Liberties and Rights,Retaliation Against Protected Speech,2026-01-19
"Dickson v. Trump (D. Or.)

3:25-cv-02170",https://www.courtlistener.com/docket/71949925/dickinson-v-trump/,"Complaint

First Amended Class Action Complaint

2025-12-10",2025-11-21,,Government Action Temporarily Blocked,Civil Liberties and Rights,Retaliation Against Protected Speech,2026-02-03
"NewsGuard Technologies, Inc. v. FTC (D.D.C.)

1:26-cv-00353",https://www.courtlistener.com/docket/72241686/v-federal-trade-commission/,Complaint,2026-02-02,,Awaiting Court Ruling,Civil Liberties and Rights,Retaliation Against Protected Speech,2026-02-06
"Rosado v. Bondi (N.D. Ill.)

1:26-cv-01532",https://www.courtlistener.com/docket/72259284/rosado-v-bondi/,Complaint,2026-02-11,,Awaiting Court Ruling,Civil Liberties and Rights,Retaliation Against Protected Speech,2026-02-11
"American Academy of Pediatrics v. Federal Trade Commission (D.D.C.)

1:26-cv-00508",https://www.courtlistener.com/docket/72286835/american-academy-of-pediatrics-v-federal-trade-commission/,Complaint,2026-02-17,,Awaiting Court Ruling,Civil Liberties and Rights,Retaliation Against Protected Speech,2026-02-17
"Endocrine Society v. Federal Trade Commission (D.D.C)

1:26-cv-00512",https://www.courtlistener.com/docket/72288700/endocrine-society-v-federal-trade-commission/,Complaint,2026-02-17,,Awaiting Court Ruling,Civil Liberties and Rights,Retaliation Against Protected Speech,2026-02-17
"World Professional Association for Transgender Health v. Federal Trade Commission (D.D.C)

1:26-cv-00532",https://storage.courtlistener.com/recap/gov.uscourts.dcd.289528/,Complaint,2026-02-18,,Awaiting Court Ruling,Civil Liberties and Rights,Retaliation Against Protected Speech,2026-02-18
"Hilton v. Noem (D. Me.)

2:26-cv-00092",https://www.courtlistener.com/docket/72313728/hilton-v-noem/,Complaint,2026-02-23,,Awaiting Court Ruling,Civil Liberties and Rights,Retaliation Against Protected Speech,2026-02-23
"State of Illinois v. Vought (N.D. Ill.)

1:26-cv-01566",https://www.courtlistener.com/docket/72265112/state-of-illinois-v-vought/,Complaint,2026-02-11,State A.G. Plaintiffs,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-02-12
"Moe v. Trump (D.D.C.)

1:25-cv-00653",https://www.courtlistener.com/docket/69878269/sealed-v-sealed/,Complaint,2025-01-26,,Government Action Temporarily Blocked,Civil Liberties and Rights,Housing of Transgender Incarcerated Individuals (Executive Order 14168),2026-02-23
"Doe v. McHenry (D.D.C.)

1:25-cv-00286",https://www.courtlistener.com/docket/69593824/doe-v-mchenry/,Complaint,2025-01-30,,Government Action Temporarily Blocked,Civil Liberties and Rights,Housing of Transgender Incarcerated Individuals (Executive Order 14168),2025-11-21
"Jones v. Trump (D.D.C.)

1:25-cv-00401",https://www.courtlistener.com/docket/69628010/jones-v-trump/,"Complaint (Feb. 10, 2025)

Amended Complaint (Feb. 28, 2025)",2025-02-10,,Government Action Temporarily Blocked,Civil Liberties and Rights,Housing of Transgender Incarcerated Individuals (Executive Order 14168),2025-11-21
"Kingdom v. Trump (D.D.C.)

1:25-cv-00691",https://www.courtlistener.com/docket/69717615/kingdom-v-trump/,Complaint,2025-03-07,,Government Action Temporarily Blocked,Civil Liberties and Rights,Housing of Transgender Incarcerated Individuals (Executive Order 14168),2026-02-19
"Philadelphia Yearly Meeting of the Religious Society of Friends, et al. v. U.S. Department of Homeland Security (D. Md.)

8:25-cv-00243",https://www.courtlistener.com/docket/69580474/philadelphia-yearly-meeting-of-the-religious-society-of-friends-v-us/,Complaint,2025-01-27,,Government Action Temporarily Blocked,Civil Liberties and Rights,Immigration Enforcement Against Places of Worship and Schools (Policy Memo),2026-02-03
"Mennonite Church USA et al. v. United States Department of Homeland Security et al (D.D.C.)

1:25-cv-00403",https://www.courtlistener.com/docket/69628285/mennonite-church-usa-v-us-department-of-homeland-security/,Complaint,2025-02-11,,Temporary Block of Government Action Denied,Civil Liberties and Rights,Immigration Enforcement Against Places of Worship and Schools (Policy Memo),2025-05-30
"Denver Public Schools v. Noem (D. Colo.)

1:25-cv-00474",https://www.courtlistener.com/docket/69635800/denver-public-schools-v-noem/,"Complaint




Amended Complaint 2025-04-16",2025-02-12,,Case Closed/Dismissed in Favor of Government,Civil Liberties and Rights,Immigration Enforcement Against Places of Worship and Schools (Policy Memo),2025-06-09
"New England Synod, Evangelical Lutheran Church in America v. Department of Homeland Security (D. Mass.)

4:25-cv-40102",https://www.courtlistener.com/docket/70939776/new-england-synod-evangelical-lutheran-church-in-america-v-department-of/,Complaint,2025-07-28,,Government Action Temporarily Blocked in Part; Temporary Block Denied in Part,Civil Liberties and Rights,Immigration Enforcement Against Places of Worship and Schools (Policy Memo),2026-02-13
"Fridley Public School District, Independent School District 14 v. Noem (D. Minn.)

0:26-cv-01023",https://www.courtlistener.com/docket/72229130/fridley-public-school-district-independent-school-district-14-v-noem/,Complaint,2026-02-04,,Awaiting Court Ruling,Civil Liberties and Rights,Immigration Enforcement Against Places of Worship and Schools (Policy Memo),2026-02-04
"American Center for International Labor Solidarity v. Chavez-Deremer (D.D.C.)

1:25-cv-01128",https://www.courtlistener.com/docket/69895281/american-center-for-international-labor-solidarity-v-chavez-deremer/,Complaint,2025-04-15,,Awaiting Court Ruling,Civil Liberties and Rights,Labor’s Bureau of International Labor Affairs (ILAB) Ending International Cooperative Agreements on Workers’ Rights,2025-06-30
"Orr v. Trump (D. Mass.)

1:25-cv-10313",https://www.courtlistener.com/docket/69623342/orr-v-trump-president-of-the-united-states/,"Complaint

Amended Complaint

2025-04-25",2025-02-07,,Government Action Not Blocked Pending Appeal,Civil Liberties and Rights,Passport Policy Targeting Transgender People (Executive Order 14168),2026-01-26
"Schlacter v. U.S. Department of State (D. Md.)

1:25-cv-01344",https://www.courtlistener.com/docket/69950221/schlacter-v-us-department-of-state/,Complaint,2025-04-25,,Government Action Not Blocked Pending Appeal,Civil Liberties and Rights,Passport Policy Targeting Transgender People (Executive Order 14168),2025-12-22
"The Associated Press v. Budowich (D.D.C.)

1:25-cv-00532",https://www.courtlistener.com/docket/69662918/the-associated-press-v-budowich/,Complaint,2025-02-21,,Government Action Not Blocked Pending Appeal,Civil Liberties and Rights,Restricting Press Freedom,2025-11-24
"Los Angeles Press Club v. Kristi Noem (C.D. Cal.)

2:25-cv-05563",https://www.courtlistener.com/docket/70581520/los-angeles-press-club-v-kristi-noem/,"Complaint

Amended Complaint

2025-10-16",2025-06-18,,Government Action Temporarily Blocked,Civil Liberties and Rights,Restricting Press Freedom,2025-10-21
"Media Matters for America v. Federal Trade Commission (D.D.C.)

1:25-cv-01959",https://www.courtlistener.com/docket/70612884/media-matters-for-america-v-federal-trade-commission/,Complaint,2025-06-23,,Government Action Blocked Pending Appeal,Civil Liberties and Rights,Restricting Press Freedom,2025-10-23
"The New York Times Company v. Department of Defense (D.D.C.)

1:25-cv-04218",https://www.courtlistener.com/docket/71992017/the-new-york-times-company-v-department-of-defense/,Complaint,2025-12-04,,Awaiting Court Ruling,Civil Liberties and Rights,Restricting Press Freedom,2026-01-07
"Nat’l Association of Diversity Officers in Higher Ed. v. Trump (D. Md.)

1:25-cv-00333",https://www.courtlistener.com/docket/69607847/national-association-of-diversity-officers-in-higher-education-v-trump/,Complaint,2025-02-03,,Temporary Block of Government Action Denied,"Diversity, Equity, Inclusion, and Accessibility","Ban on DEIA Initiatives in the Executive Branch and by Contractors and Grantees (Executive Order 14168, Executive Order 14151, Executive Order 14173)",2026-02-06
"Doe 1 v. Office of the Director of National Intelligence (E.D. Va.)

1:25-cv-00300",https://www.courtlistener.com/docket/69646552/doe-1-v-office-of-the-director-of-national-intelligence/,Complaint,2025-02-17,,Government Action Temporarily Blocked,"Diversity, Equity, Inclusion, and Accessibility","Ban on DEIA Initiatives in the Executive Branch and by Contractors and Grantees (Executive Order 14168, Executive Order 14151, Executive Order 14173)",2025-12-10
"National Urban League v. Trump (D.D.C.)

1:25-cv-00471",https://www.courtlistener.com/docket/69651274/national-urban-league-v-trump/,"Complaint




Amended Complaint 2025-06-30",2025-02-19,,Temporary Block of Government Action Denied,"Diversity, Equity, Inclusion, and Accessibility","Ban on DEIA Initiatives in the Executive Branch and by Contractors and Grantees (Executive Order 14168, Executive Order 14151, Executive Order 14173)",2025-06-30
"San Francisco AIDS Foundation et al v. Trump (N.D. Cal.)

3:25-cv-01824",https://www.courtlistener.com/docket/69658554/san-francisco-aids-foundation-v-trump/,Complaint,2025-02-20,,Government Action Temporarily Blocked,"Diversity, Equity, Inclusion, and Accessibility","Ban on DEIA Initiatives in the Executive Branch and by Contractors and Grantees (Executive Order 14168, Executive Order 14151, Executive Order 14173)",2025-08-26
"Chicago Women in Trades v. Trump (N.D. Ill.)

1:25-cv-02005",https://www.courtlistener.com/docket/69675603/chicago-women-in-trades-v-trump/,Complaint,2025-02-26,,Government Action Temporarily Blocked,"Diversity, Equity, Inclusion, and Accessibility","Ban on DEIA Initiatives in the Executive Branch and by Contractors and Grantees (Executive Order 14168, Executive Order 14151, Executive Order 14173)",2025-07-03
"American Association of Colleges for Teacher Education v. Carter (D. Md.)

1:25-cv-00702",https://www.courtlistener.com/docket/69700167/american-association-of-colleges-for-teacher-education-v-carter/,Complaint,2025-03-03,,Government Action Not Blocked Pending Appeal,"Diversity, Equity, Inclusion, and Accessibility","Ban on DEIA Initiatives in the Executive Branch and by Contractors and Grantees (Executive Order 14168, Executive Order 14151, Executive Order 14173)",2025-10-08
"Rhode Island Latino Arts v. National Endowment for the Arts (D.R.I.)

1:25-cv-00079",https://www.courtlistener.com/docket/69710414/rhode-island-latino-arts-v-national-endowment-for-the-arts/,"Complaint

Amended Complaint

2025-05-12",2025-03-06,,Government Action Blocked,"Diversity, Equity, Inclusion, and Accessibility","Ban on DEIA Initiatives in the Executive Branch and by Contractors and Grantees (Executive Order 14168, Executive Order 14151, Executive Order 14173)",2025-11-17
"State of California v. U.S. Department of Education (D. Mass.)

1:25-cv-10548",https://www.courtlistener.com/docket/69711499/state-of-california-v-us-department-of-education/,"Complaint




Amended Complaint 2025-06-02",2025-03-06,State A.G. Plaintiffs,Awaiting Court Ruling,"Diversity, Equity, Inclusion, and Accessibility","Ban on DEIA Initiatives in the Executive Branch and by Contractors and Grantees (Executive Order 14168, Executive Order 14151, Executive Order 14173)",2025-11-13
"Doe v. Collins (D.D.C.)

1:25-cv-00760",https://www.courtlistener.com/docket/69740178/doe-v-collins/,Complaint,2025-03-14,,Case Closed/Dismissed in Favor of Government,"Diversity, Equity, Inclusion, and Accessibility","Ban on DEIA Initiatives in the Executive Branch and by Contractors and Grantees (Executive Order 14168, Executive Order 14151, Executive Order 14173)",2025-07-17
"Erie County New York v. Corporation for National and Community Service (D.D.C.)

1:25-cv-00783",https://www.courtlistener.com/docket/69747050/erie-county-new-york-v-corporation-for-national-and-community-service/,Complaint,2025-03-17,,Case Closed/Dismissed in Favor of Government,"Diversity, Equity, Inclusion, and Accessibility","Ban on DEIA Initiatives in the Executive Branch and by Contractors and Grantees (Executive Order 14168, Executive Order 14151, Executive Order 14173)",2025-04-14
"Southern Education Foundation v. United States Department of Education (D.D.C.)

1:25-cv-01079",https://www.courtlistener.com/docket/69868681/southern-education-foundation-v-united-states-department-of-education/,"Complaint




Amended Supplemental Complaint




2025-05-19",2025-04-09,,Government Action Temporarily Blocked,"Diversity, Equity, Inclusion, and Accessibility","Ban on DEIA Initiatives in the Executive Branch and by Contractors and Grantees (Executive Order 14168, Executive Order 14151, Executive Order 14173)",2025-09-30
"E.K. v. Department of Defense Education Activity (E.D. Va.)

1:25-cv-00637",https://www.courtlistener.com/docket/69899129/ek-v-department-of-defense-education-activity/,Complaint,2025-04-15,,Government Action Temporarily Blocked,"Diversity, Equity, Inclusion, and Accessibility","Ban on DEIA Initiatives in the Executive Branch and by Contractors and Grantees (Executive Order 14168, Executive Order 14151, Executive Order 14173)",2026-01-02
